Ludwigsburger Straße;Waiblingen;5004876
Ludwigsburger Straße;Bietigheim-Bissingen;5005643
Ludwigsburger Straße;Sachsenheim;5005649
Ludwigsburger Straße;Tamm;5003451
Ludwigsburger Straße;Ludwigsburg;5005525
Ludwigsburger Straße;Kornwestheim;5005459
Ludwigsburger Straße;Schwieberdingen;5003328
Arsenalplatz;Ludwigsburg;5003408
Eglosheim A.-Bebel-Str.;Ludwigsburg;5003409
Ludwigsburger Straße;Möglingen;5003439
Lotter;Ludwigsburg;5003410
Gänsfußallee;Ludwigsburg;5003411
Heilbronner Straße;Ludwigsburg;5003412
Rundsporthalle;Ludwigsburg;5003415
Uhlandstraße;Ludwigsburg;5003416
Eglosheim Monrepos;Ludwigsburg;5003417
Neckarbrücke;Ludwigsburg;5003418
Rathaus;Ludwigsburg;5003419
Solitudeallee;Ludwigsburg;5003420
Eglosheim Teinacher Str.;Ludwigsburg;5003421
Eglosheim Markgröninger Str.;Ludwigsburg;5003422
Eglosheim Frankfurter Str.;Ludwigsburg;5003423
Hoheneck Bottwartalstr.;Ludwigsburg;5003425
Neckarweihingen Lechtstr.;Ludwigsburg;5003426
Neckarweih. Wendeplatte;Ludwigsburg;5003428
Pflugfelden Möglinger Str.;Ludwigsburg;5003429
Breuningerland;Ludwigsburg;5003448
Kreisberufsschule;Ludwigsburg;5003454
Eglosheim Hirschbergstr.;Ludwigsburg;5003456
Neckarweih. Schwarzwaldstr.;Ludwigsburg;5003461
Gartenstraße;Ludwigsburg;5007563
Karlsplatz;Ludwigsburg;5003462
Am Sonnenberg;Ludwigsburg;5003464
Rotbäumlesfeld;Ludwigsburg;5003466
IKEA;Ludwigsburg;5003467
Hoheneck Beihinger Str.;Ludwigsburg;5003472
Oßweil Westfalenstr.;Ludwigsburg;5004892
Comburgstraße;Ludwigsburg;5004893
Schorndorfer Tor;Ludwigsburg;5004894
Residenzschloss;Ludwigsburg;5005454
Köhlstraße;Ludwigsburg;5005455
Pflugfelden Karlsruher Allee;Ludwigsburg;5005457
Stadtwerke;Ludwigsburg;5005466
Ruhrstraße;Ludwigsburg;5005472
Grönerstraße;Ludwigsburg;5005474
Mann + Hummel;Ludwigsburg;5005475
Mörikestraße;Ludwigsburg;5005476
Obere Marbacher Straße;Ludwigsburg;5005483
Rockfabrik;Ludwigsburg;5007562
Untere Marbacher Straße;Ludwigsburg;5005484
Oßweil Mühlhäuser Str.;Ludwigsburg;5007556
Neckarweih. Hauptstr. 99;Ludwigsburg;5005486
Neckarweih. Hohenrainstr.;Ludwigsburg;5005487
Neckar-/Naststraße;Ludwigsburg;5007555
Friedenstraße 5;Ludwigsburg;5005488
Friedenstraße 52;Ludwigsburg;5005489
Daimlerstraße;Ludwigsburg;5005490
Steinbeisstraße;Ludwigsburg;5005491
Pflugfelden Robert-Bosch-Str.;Ludwigsburg;5005492
Pflugfelden Sportplatz;Ludwigsburg;5005494
Pflugf. Herrschaftsweg;Ludwigsburg;5005495
Pflugfelden Dorfstraße;Ludwigsburg;5005496
Blühendes Barock;Ludwigsburg;5005497
Klinikum;Ludwigsburg;5005498
Neuer Friedhof;Ludwigsburg;5005499
Harteneckstraße;Ludwigsburg;5005500
Kornbeckstraße;Ludwigsburg;5005501
Schlösslesfeld;Ludwigsburg;5005502
Abelstraße;Ludwigsburg;5005503
Talstraße;Ludwigsburg;5005504
Bietigheimer Straße;Ludwigsburg;5005505
Schloss Favorite;Ludwigsburg;5005506
Eglosheim Rosenackerweg;Ludwigsburg;5005507
Eglosheim Golfplatz;Ludwigsburg;5005508
Martin-Luther-Straße;Ludwigsburg;5005510
Eglosheim Katharinenstr.;Ludwigsburg;5005511
Eglosheim Tammer Straße;Ludwigsburg;5005512
Eglosheim Falkenweg;Ludwigsburg;5005513
Neckarstraße;Ludwigsburg;5005514
Oßweil Friesenstraße;Ludwigsburg;5005515
Oßweil Wettemarkt;Ludwigsburg;5005516
Hohenzollernplatz;Ludwigsburg;5005517
Wüstenrot;Ludwigsburg;5005518
Karlshöhe;Ludwigsburg;5005519
Tennisplatz;Ludwigsburg;5005520
Robert-Franck-Allee;Ludwigsburg;5005521
Aldinger Straße;Ludwigsburg;5005522
Grünbühl Netzestraße;Ludwigsburg;5005523
Reichertshalde;Ludwigsburg;5005524
Neckarstraße/Auf dem Wasen;Ludwigsburg;5007554
Hoheneck Ebelstraße;Ludwigsburg;5005526
Hoheneck Uferstraße;Ludwigsburg;5005527
Hoheneck Heilbad;Ludwigsburg;5005528
Agentur für Arbeit;Ludwigsburg;5005529
Landratsamt;Ludwigsburg;5005530
Oststraße;Ludwigsburg;5005531
Osterholz;Ludwigsburg;5005532
Danziger Straße;Ludwigsburg;5005533
Brünner Straße;Ludwigsburg;5005534
